車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
L585S,4WD,3395,1475,1640,2490,145,930,4,ムーヴ コンテ,カスタムRS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/55R15,18.2,4.7,1681000 ,軽自動車,,
L455S,FF,3395,1475,1730,2490,160,870,4,タント エグゼ,X (CVT),4G,R,直3,DOHC,658,38,60,36,CVT,145/80R13,21.5,4.2,1220000 ,軽自動車,,
L455S,FF,3395,1475,1730,2490,160,870,4,タント エグゼ,G (CVT),4G,R,直3,DOHC,658,38,60,36,CVT,145/80R13,21.5,4.2,1320000 ,軽自動車,,
L455S,FF,3395,1475,1730,2490,155,870,4,タント エグゼ,X ススペシャル (CVT),4G,R,直3,DOHC,658,38,60,34,CVT,145/80R13,21.5,4.2,1140000 ,軽自動車,,
L455S,FF,3395,1475,1730,2490,160,880,4,タント エグゼ,カスタム X  (CVT),4G,R,直3,DOHC,658,38,60,36,CVT,155/65R14,21.5,4.5,1370000 ,軽自動車,,
L455S,FF,3395,1475,1730,2490,160,890,4,タント エグゼ,カスタム G (CVT),4G,R,直3,DOHC,658,38,60,36,CVT,155/65R14,21.5,4.5,1430000 ,軽自動車,,
L465S,4WD,3395,1475,1730,2490,155,980,4,タント エグゼ,カスタムRS 4WD (CVT),4G,R,直3,DOHC,658,47,103,34,CVT,165/55R15,19.0,4.7,1691000 ,軽自動車,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
