車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
BP5,4WD,4680,1730,1470,2670,155,1480,5,レガシィ,ツーリングワゴン 2.0GT (5AT),4G,P,対4,DOHC,1994,191,343,64,EAT,215/45R17,13.0,5.4,3181500 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BP5,4WD,4680,1730,1470,2670,155,1490,5,レガシィ,ツーリングワゴン 2.0GT SI-Cruise (5AT),4G,P,対4,DOHC,1994,161,343,64,EAT,215/45R17,13.0,5.4,3407250 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BP5,4WD,4680,1730,1475,2670,160,1500,5,レガシィ,ツーリングワゴン 2.0GT SpecB (6MT),4G,P,対4,DOHC,1994,206,343,64,MT,215/45R18,11.4,5.4,3339000 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BP9,4WD,4680,1730,1470,2670,150,1430,5,レガシィ,ツーリングワゴン 2.5i アーバンセレクション (4AT),4G,R,対4,SOHC,2457,130,229,64,EAT,215/45R17,13.0,5.4,2677500 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BPE,4WD,4680,1730,1470,2670,150,1490,5,レガシィ,ツーリングワゴン 3.0R (5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/45R17,11.6,5.4,3234000 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BPE,4WD,4680,1730,1475,2670,160,1500,5,レガシィ,ツーリングワゴン 3.0R SI-Cruise (5AT),4G,P,対6,DOHC,2999,184,304,64,EAT,215/45R17,11.6,5.4,3459750 ,ワゴン＆２ボックス,legacy_tr_ov.jpg,legacy_tr_drv.jpg
BL5,4WD,4635,1730,1425,2670,150,1330,5,レガシィB4,2.0i (5MT),4G,R,対4,SOHC,1994,103,186,64,MT,205/55R16,14.0,5.4,2089500 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
BL5,4WD,4635,1730,1425,2670,150,1390,5,レガシィB4,2.0R SpecB (4AT),4G,P,対4,DOHC,1994,132,196,64,EAT,215/45R17,13.0,5.4,2572500 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
BL5,4WD,4635,1730,1425,2670,150,1460,5,レガシィB4,2.0GT (5AT),4G,P,対4,DOHC,1994,191,343,64,EAT,215/45R17,13.0,5.4,3024000 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
BL5,4WD,4635,1730,1425,2670,150,1480,5,レガシィB4,2.0GT SpecB (6MT),4G,P,対4,DOHC,1994,206,343,64,MT,215/45R18,11.4,5.4,3181200 ,セダン,legacy_b4_ov.jpg,legacy_b4_drv.jpg
