車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
MA34S,FF,3545,1620,1665,2360,160,970,5,ソリオ,1.3E (4AT),4G,R,直4,DOHC,1328,65,118,39,EAT,165/60R14,18.0,5.0,999600 ,コンパクト,solio_ov.jpg,solio_drv.jpg
MA34S,FF,3545,1620,1705,2360,160,970,5,ソリオ,1.3WELL (4AT),4G,R,直4,DOHC,1328,65,118,39,EAT,165/60R14,18.0,5.0,1144500 ,コンパクト,solio_ov.jpg,solio_drv.jpg
MA15S,FF,3710,1620,1765,2450,145,1000,5,ソリオ,G (CVT),4G,R,直4,DOHC,1242,67,118,33,CVT,165/65R14,22.5,5.0,1382000 ,コンパクト,,
MA15S,FF,3710,1620,1765,2450,145,1030,5,ソリオ,X (CVT),4G,R,直4,DOHC,1242,67,118,33,CVT,165/65R14,21.0,5.0,1509900 ,コンパクト,,
MA15S,FF,3710,1620,1765,2450,145,1040,5,ソリオ,S (CVT),4G,R,直4,DOHC,1242,67,118,33,CVT,165/65R14,21.0,5.0,1624350 ,コンパクト,,
ZC71S,FF,3755,1690,1510,2390,145,1000,5,スィフト,1.2XE (CVT),4G,R,直4,DOHC,1242,66,118,43,CVT,165/70R14,20.5,4.7,1102500 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZC11S,FF,3755,1690,1510,2390,145,1000,5,スィフト,1.3XG (5MT),4G,R,直4,DOHC,1328,67,118,43,MT,185/60R15,18.8,5.2,1107750 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZC71S,FF,3755,1690,1510,2390,145,1000,5,スィフト,1.2スタイル (CVT),4G,R,直4,DOHC,1242,66,118,43,CVT,165/70R14,20.5,4.7,1333500 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZC21S,FF,3755,1690,1510,2390,140,1030,5,スィフト,1.5XS (4AT),4G,R,直4,DOHC,1490,81,143,43,EAT,185/60R15,16.4,5.2,1428000 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZD11S,4WD,3755,1690,1530,2390,145,1090,5,スィフト,1.3XG 4WD (4AT),4G,R,直4,DOHC,1328,67,118,40,EAT,185/60R15,16.0,5.2,1375500 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZD21S,4WD,3755,1690,1530,2390,145,1100,5,スィフト,1.5XS 4WD (4AT),4G,R,直4,DOHC,1490,71,143,40,EAT,185/60R15,15.0,5.2,1606500 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZC31S,FF,3765,1690,1510,2390,140,1060,5,スィフト,スポーツ (5MT),4G,P,直4,DOHC,1586,92,148,43,MT,195/50R16,14.6,5.2,1627500 ,コンパクト,swift_ov.jpg,swift_drv.jpg
ZC72S,FF,3850,1695,1510,2430,140,970,5,スィフト,XG (5MT),4G,R,直4,DOHC,1242,67,118,42,MT,175/65R15,21.0,4.8,1244250 ,コンパクト,,
ZC72S,FF,3850,1695,1510,2430,140,990,5,スィフト,XG (CVT),4G,R,直4,DOHC,1242,67,118,42,CVT,175/65R15,23.0,4.8,1244250 ,コンパクト,,
ZC72S,FF,3850,1695,1510,2430,140,970,5,スィフト,XL (5MT),4G,R,直4,DOHC,1242,67,118,42,MT,185/55R16,21.0,5.2,1317750 ,コンパクト,,
ZC72S,FF,3850,1695,1510,2430,140,990,5,スィフト,XL (CVT),4G,R,直4,DOHC,1242,67,118,42,CVT,185/55R16,23.0,5.2,1317750 ,コンパクト,,
ZC72S,FF,3850,1695,1510,2430,140,1080,5,スィフト,XS (CVT),4G,R,直4,DOHC,1242,67,118,42,CVT,185/55R16,23.0,5.2,1475250 ,コンパクト,,
YA11S,FF,4115,1730,1585,2500,175,1180,5,SX4,1.5E (4AT),4G,R,直4,DOHC,1490,81,143,50,EAT,205/60R16,16.4,5.3,1491000 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YA11S,FF,4135,1730,1585,2500,175,1190,5,SX4,1.5G (4AT),4G,R,直4,DOHC,1490,81,143,50,EAT,205/60R16,16.4,5.3,1648500 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YA11S,FF,4135,1755,1605,2500,175,1190,5,SX4,1.5XG (4AT),4G,R,直4,DOHC,1490,81,143,50,EAT,205/60R16,16.4,5.3,1648500 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YA41S,FF,4135,1730,1570,2500,160,1250,5,SX4,2.0S (4AT),4G,R,直4,DOHC,1995,107,193,50,EAT,205/50R17,12.6,5.3,1827000 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YA41S,FF,4135,1755,1605,2500,175,1250,5,SX4,2.0XS (4AT),4G,R,直4,DOHC,1995,107,193,50,EAT,205/60R16,12.6,5.3,1827000 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YB41S,4WD,4135,1755,1605,2500,175,1310,5,SX4,2.0XS 4WD (4AT),4G,R,直4,DOHC,1995,107,193,45,EAT,205/60R16,12.6,5.3,2037000 ,コンパクト,sx4_ov.jpg,sx4_drv.jpg
YB11S,4WD,4135,1730,1585,2500,175,1250,5,SX4,1.5G 4WD (4AT),4G,R,直4,DOHC,1490,82,145,45,EAT,205/60R16,15.6,5.3,1869000 ,コンパクト,,
YB11S,4WD,4135,1755,1605,2500,175,1250,5,SX4,1.5XG 4WD (4AT),4G,R,直4,DOHC,1490,82,145,45,EAT,205/60R16,15.6,5.3,1869000 ,コンパクト,,
YC11S,FF,4490,1730,1545,2500,175,1190,5,SX4セダン,1.5G (4AT),4G,R,直4,DOHC,1490,81,143,50,EAT,195/65R15,16.4,5.3,1659000 ,セダン,sx4_sdn_ov.jpg,sx4_sdn_drv.jpg
SC26,FF,4685,1695,1865,2860,160,1600,8,ランディ,2.0S (CVT),4G,R,直4,DOHC,1997,108,210,60,CVT,195/65R15,14.4,5.5,22200750 ,ミニバン,,
SC26,FF,4685,1695,1865,2860,160,1630,8,ランディ,2.0G (CVT),4G,R,直4,DOHC,1997,108,210,60,CVT,195/65R15,15.4,5.5,2646000 ,ミニバン,,
SNC26,4WD,4685,1695,1875,2860,135,1690,8,ランディ,2.0S 4WD (CVT),4G,R,直4,DOHC,1997,106,207,60,CVT,195/65R15,13.4,5.5,2493750 ,ミニバン,,
