車両形式,エンジン位置・駆動軸位置,全長,全幅,全高,ホイールベース,最低地上高,車両重量(kg),定員(名),車名,グレード,エンジンサイクル,使用燃料,気筒数配置,弁機構,総排気量(cc),最高出力(kw),最大トルク(Nm),燃料タンク容量(?),トランスミッション,タイヤ規格,10・15モード燃費(km/?),最小回転半径(m),東京標準現金価格(円),タイプ,外観写真,運転席写真
ER3P,FF,4680,1870,1645,2750,205,1640,5,CX-7,(6AT),4G,P,直4,DOHC,2360,175,350,69,EAT,235/60R18,9.1,5.7,3060000 ,SUV,cx7_ov.jpg,cx7_drv.jpg
ER3P,FF,4680,1870,1645,2750,205,1640,5,CX-7,クルージングパッケージ (6AT),4G,P,直4,DOHC,2360,175,350,69,EAT,235/60R18,9.1,5.7,3400000 ,SUV,cx7_ov.jpg,cx7_drv.jpg
ER3P,4WD,4680,1870,1645,2750,205,1740,5,CX-7,4WD (6AT),4G,P,直4,DOHC,2360,175,350,69,EAT,235/60R18,8.9,5.7,3320000 ,SUV,cx7_ov.jpg,cx7_drv.jpg
ER3P,4WD,4680,1870,1645,2750,205,1740,5,CX-7,4WD クルージングパッケージ (6AT),4G,P,直4,DOHC,2360,175,350,69,EAT,235/60R18,8.9,5.7,3660000 ,SUV,cx7_ov.jpg,cx7_drv.jpg
BK5P,FF,4480,1745,1465,2640,145,1210,5,アクセラセダン,15F (4AT),4G,R,直4,DOHC,1498,84,140,55,EAT,195/65R15,17.4,5.2,1600000 ,セダン,axela_se_ov.jpg,axela_se_drv.jpg
BK5P,FF,4480,1745,1465,2640,145,1190,5,アクセラセダン,15C (5MT),4G,R,直4,DOHC,1498,84,140,55,MT,195/65R15,18.0,5.2,1560750 ,セダン,axela_se_ov.jpg,axela_se_drv.jpg
BKEP,FF,4480,1745,1465,2640,145,1250,5,アクセラセダン,20C (4AT),4G,R,直4,DOHC,1998,110,183,55,EAT,195/65R15,14.2,5.2,1890000 ,セダン,axela_se_ov.jpg,axela_se_drv.jpg
BKEP,FF,4510,1745,1465,2640,145,1260,5,アクセラセダン,20S (4AT),4G,R,直4,DOHC,1998,110,183,55,EAT,205/50R16,14.2,5.2,2060000 ,セダン,axela_se_ov.jpg,axela_se_drv.jpg
BKEP,4WD,4480,1745,1510,2640,140,1380,5,アクセラセダン,20F 4WD (4AT),4G,R,直4,DOHC,1998,105,179,55,EAT,195/70R15,11.6,5.2,1980000 ,セダン,axela_se_ov.jpg,axela_se_drv.jpg
GGEP,FF,4675,1780,1430,2675,135,1360,5,アテンザセダン,20F  (5AT),4G,R,直4,DOHC,1998,110,182,64,EAT,195/65R15,14.2,5.4,1932000 ,セダン,atenza_se_ov.jpg,atenza_se_drv.jpg
GGEP,FF,4675,1780,1430,2675,135,1360,5,アテンザセダン,20C  (5AT),4G,R,直4,DOHC,1998,110,182,64,EAT,195/65R15,14.2,5.4,2142000 ,セダン,atenza_se_ov.jpg,atenza_se_drv.jpg
GGEP,FF,4675,1780,1430,2675,135,1360,5,アテンザセダン,20E  (5AT),4G,R,直4,DOHC,1998,110,182,64,EAT,195/65R15,14.2,5.4,2247000 ,セダン,atenza_se_ov.jpg,atenza_se_drv.jpg
GG3P,FF,4675,1780,1430,2675,135,1380,5,アテンザセダン,23EX  (5AT),4G,P,直4,DOHC,2260,131,215,64,EAT,205/55R16,12.6,5.4,2457000 ,セダン,atenza_se_ov.jpg,atenza_se_drv.jpg
NCEC,FR,3995,1720,1245,2330,135,1090,2,ロードスター,(5MT),4G,P,直4,DOHC,1998,125,189,50,MT,205/50R16,13.4,4.7,2200000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
NCEC,FR,3995,1720,1245,2330,135,1100,2,ロードスター,RS (6MT),4G,P,直4,DOHC,1998,125,189,50,MT,205/45R17,13.0,4.7,2500000 ,スペシャリティ,roadster_ov.jpg,roadster_drv.jpg
